Neutralization	Sulphate	Ammonium	TimeSeries	Altitude_m
			3511779866.875	
			3511779880.363281	
			3511779903.957031	
			3511779917.59375	
			3511779941.28125	
			3511779954.9375	
			3511779978.671875	
			3511779992.269531	
			3511780015.734375	
			3511780029.21875	
			3511780052.785156	
			3511780066.421875	
			3511780090.167969	
			3511780103.816406	
			3511780127.414062	
			3511780141.027344	
			3511780164.691406	
			3511780178.292969	
			3511780201.871094	
			3511780215.429688	
			3511780239.132812	
			3511780252.636719	
			3511780276.238281	
			3511780289.851562	
			3511780313.464844	
			3511780327.132812	
			3511780350.796875	
			3511780364.367188	
			3511780387.882812	
			3511780401.453125	
			3511780425.066406	
			3511780438.566406	
			3511780462.304688	
			3511780475.929688	
			3511780499.460938	
			3511781583.074219	
			3511781596.609375	0
			3511781620.308594	0
			3511781633.886719	0
			3511781657.34375	0
			3511781670.84375	0
			3511781694.367188	0
			3511781707.925781	0
			3511781731.414062	0
			3511781744.882812	0
			3511781768.429688	0
			3511781782.011719	0
			3511781805.5	0
			3511781818.980469	0
			3511781842.582031	0
			3511781856.222656	0
			3511781879.957031	0
			3511781893.519531	0
			3511781917.007812	0
			3511782022.25	0
			3511782035.832031	0
			3511782059.511719	
			3511782073.019531	
			3511782096.515625	91.2
			3511782110	91
			3511782133.566406	91
			3511782147.171875	90.2
			3511782170.820312	90
			3511782184.402344	90
			3511782208.066406	90
			3511782221.59375	90
			3511782245.183594	90.7
			3511782463.875	91
			3511782476.808594	91
			3511782507.558594	91
			3511782520.375	91
			3511782551.234375	91
			3511782564.164062	91
			3511782890.519531	103.5
0.27875561	1.0007252	0.1096131	3511782903.453125	152.3
			3511782934.320312	245.2
0.25389585	1.1630508	0.11368543	3511782947.300781	268.5
			3511782978.074219	343.2
0.23627356	1.0509412	0.095719822	3511782990.964844	352.1
			3511783021.839844	346.2
0.26071167	1.2038449	0.12144423	3511783034.707031	335.5
			3511783065.476562	329
0.23446861	1.1096829	0.10163581	3511783078.34375	320.6
			3511783109.171875	323.7
0.23771536	1.1624542	0.10875264	3511783122.121094	317
			3511783152.835938	336.2
0.22695486	1.1546788	0.1011092	3511783165.769531	338.5
			3511783196.425781	348.4
0.24415307	1.1538763	0.10723212	3511783209.339844	349.2
			3511783240.085938	343.6
0.23606329	1.134288	0.10201778	3511783253.015625	344.5
			3511783283.824219	341.1
0.25238505	1.1752244	0.11462215	3511783296.800781	337.7
			3511783327.464844	355
			3511783353.90625	375.3
0.2770651	1.0991356	0.11840922	3511783366.796875	386.9
			3511783397.464844	400.6
0.27891275	1.1352628	0.12205246	3511783410.507812	410.9
			3511783441.332031	429.9
0.30888239	1.1338044	0.13632689	3511783454.238281	430
			3511783485.027344	438.7
0.27788275	1.2583393	0.14030389	3511783497.90625	436.3
			3511783528.628906	448
0.29239172	1.2311286	0.13901182	3511783541.554688	453.8
			3511783572.375	448.8
0.28261697	1.2435881	0.13521236	3511783585.324219	446.8
			3511783616.066406	441.1
0.2912783	1.1727901	0.12974001	3511783628.980469	441.2
			3511783659.683594	432.4
0.26504701	1.3657269	0.13849147	3511783672.605469	426
			3511783703.449219	426.5
			3511783716.285156	431.7
			3511783747.121094	434.7
			3511783760.058594	434.8
			3511783790.742188	419.6
			3511783803.660156	421
			3511783834.40625	418.3
			3511783847.34375	407.9
			3511783878.089844	392.9
			3511783891.167969	404.8
			3511783921.824219	410.4
			3511783934.8125	413.3
			3511783964.871094	415
			3511784028.535156	421.4
			3511784041.433594	414.3
			3511784072.203125	417.7
			3511784085.195312	416.9
			3511784116.007812	416.4
			3511784128.964844	423.3
			3511784159.726562	477.7
			3511784172.667969	504.9
			3511784203.339844	559.5
			3511784216.273438	582.3
			3511784246.957031	645.2
			3511784259.894531	675.5
			3511784290.605469	750.5
			3511784303.519531	787.4
			3511784352.796875	921.7
			3511784365.773438	948.4
			3511784396.421875	1013
			3511784409.457031	1043
			3511784440.273438	1112.2
			3511784453.164062	1126.5
			3511784483.914062	1127.7
			3511784496.863281	1122.9
			3511784527.492188	1099.5
0.44080091	0.75763899	0.12663278	3511784540.476562	1098
			3511784571.15625	1095
0.36836603	0.85224801	0.12282629	3511784584.191406	1089.5
			3511784615.03125	1089
0.31281579	1.130265	0.13542788	3511784627.980469	1090.9
			3511784658.746094	1096.8
0.35793397	0.9006111	0.123311	3511784671.644531	1097.8
			3511784702.425781	1099.6
0.37374327	0.84326327	0.12148041	3511784715.28125	1099.3
			3511784746.140625	1092.2
0.3751933	1.0149395	0.14474128	3511784759.015625	1096.7
			3511784789.929688	1089
0.40808561	0.76957721	0.11784273	3511784802.792969	1098.4
			3511784833.609375	1106.9
0.45981422	0.87422401	0.15357813	3511784846.503906	1098.5
			3511784877.328125	1097.3
0.46912599	0.70440912	0.12502746	3511784890.207031	1095.7
			3511784920.933594	1107.1
0.35445908	0.82078278	0.11019183	3511784933.824219	1109.8
			3511784964.625	1098.2
0.39006117	0.76046205	0.1162733	3511784977.703125	1098.3
			3511785008.324219	1091.2
0.47903958	0.65597701	0.11927441	3511785021.265625	1084.1
			3511785051.984375	1067.8
0.46975431	0.77143109	0.13773532	3511785065.050781	1048.1
			3511785095.953125	987.5
			3511785108.953125	957.6
			3511785188.050781	785.7
0.40951338	1.0915897	0.17103036	3511785200.921875	763.9
			3511785231.554688	704.4
0.41231	1.0434873	0.16194907	3511785244.429688	672.6
			3511785275.09375	594.4
0.34421393	1.3259561	0.17294872	3511785288.042969	569.2
			3511785318.753906	501.5
0.3284809	1.1708939	0.1447376	3511785331.664062	483
			3511785362.386719	422.7
0.32219172	1.1225787	0.13708329	3511785375.285156	397
			3511785406.011719	332.6
0.24831529	1.1833023	0.11213268	3511785418.898438	304.2
			3511785449.535156	252.2
0.24417274	1.1081228	0.10494334	3511785462.460938	222.9
			3511785493.15625	169.5
0.25023356	1.1829785	0.11194289	3511785506.199219	159.8
			3511785536.984375	116.7
0.24506591	1.2925763	0.12075518	3511785549.859375	106.9
			3511785580.59375	84.8
0.2622638	1.2872857	0.12801421	3511785593.4375	81.2
			3511785624.199219	87.8
0.22078884	1.2446001	0.10607716	3511785637.0625	80.8
			3511785667.863281	82.5
0.22831124	1.3831493	0.12154197	3511785680.800781	82.8
			3511785711.605469	83.59999999999999
0.2662015	1.4258646	0.14450423	3511785724.6875	77.8
			3511785755.574219	82.3
0.26064563	1.3185923	0.13163967	3511785768.429688	82.5
			3511785799.273438	73
0.24845472	1.3360633	0.12685055	3511785812.195312	77.5
			3511785843	81.72727272727273
0.25876528	1.3883214	0.13789228	3511785855.949219	86.2
			3511785886.582031	88.09999999999999
0.2271419	1.1591465	0.10074981	3511785899.613281	89.09999999999999
			3511785930.472656	87.40000000000001
0.30677354	1.2325108	0.14390175	3511785943.4375	82.09999999999999
			3511785974.179688	72.2
0.21397354	1.1266866	0.091512583	3511785987.070312	74.40000000000001
			3511786017.78125	74.59999999999999
0.28836268	1.1820173	0.13168874	3511786030.667969	75.3
			3511786061.398438	129.1
0.24162719	1.2041975	0.11183467	3511786079.949219	173.7
			3511786110.570312	229.9
0.28317028	1.3218962	0.14617641	3511786123.648438	250.7
			3511786153.863281	316.1
0.29935277	1.0941588	0.12452755	3511786166.75	342.4
			3511786197.632812	401.6
0.28679478	1.1498926	0.12672597	3511786210.621094	428.9
			3511786241.191406	484
0.35659516	1.1400119	0.15274997	3511786254.179688	501.2
			3511786284.746094	555.1
0.33189771	1.2612026	0.16026966	3511786297.632812	589.5
			3511786328.386719	649.6
0.36445129	1.0811757	0.15060331	3511786341.261719	669
			3511786371.996094	720.7
0.46930885	0.94037521	0.16724464	3511786384.941406	742.9
			3511786415.59375	804.4
0.50201076	1.0754676	0.21277694	3511786428.488281	834
			3511786459.164062	893.5
0.44016317	0.79424381	0.1356695	3511786472.050781	918.7
			3511786502.867188	992.2
0.52309716	0.60916907	0.12211572	3511786515.804688	1016.3
			3511786546.53125	1098.9
0.46811882	0.59517258	0.10627352	3511786559.5	1132.3
			3511786590.054688	1198.9
0.4658964	0.67595696	0.11894604	3511786602.957031	1222.7
			3511786633.667969	1292.1
0.43495259	0.78434908	0.12965232	3511786646.558594	1324.6
			3511786677.324219	1382.1
0.56267023	0.46137413	0.10124639	3511786690.230469	1403.2
			3511786720.992188	1476.4
0.54416913	0.53019524	0.11201602	3511786734.023438	1513
			3511786764.636719	1583.3
0.3465893	0.85970944	0.11753174	3511786777.65625	1614.6
			3511786808.308594	1668.1
0.44624442	0.67739451	0.11536486	3511786821.363281	1690.1
			3511786852.265625	1758
0.40936673	0.72174793	0.112173	3511786865.183594	1787.7
			3511786896.085938	1866
0.44044143	0.82429606	0.13728055	3511786909.050781	1898.3
			3511786939.964844	1969.1
0.47184688	0.68869072	0.12414647	3511786952.859375	1990.7
			3511786983.707031	2046.8
0.46007475	0.67103809	0.1191991	3511786996.730469	2074.2
			3511787027.402344	2146.5
0.41687858	0.86589968	0.13804838	3511787040.472656	2176.4
			3511787071.328125	2247.3
0.38312724	0.7275756	0.10560387	3511787084.222656	2276.9
			3511787115.078125	2335.6
0.50590092	0.57478672	0.10995148	3511787128.074219	2352.9
			3511787158.84375	2412.2
0.52070135	0.69724035	0.14067346	3511787171.742188	2441.5
			3511787202.609375	2512.2
0.61342794	0.47633463	0.11110327	3511787215.507812	2537.1
			3511787246.390625	2600.8
0.67575938	0.64337325	0.16691089	3511787259.429688	2628
			3511787290.089844	2704.3
0.61606908	0.71138197	0.1703345	3511787303.164062	2735.3
			3511787333.972656	2793.2
0.54387635	0.65008271	0.13504688	3511787346.875	2786.5
			3511787377.648438	2770.1
0.45953447	0.53521836	0.093513705	3511787390.570312	2781.1
			3511787421.335938	2776.1
			3511787434.332031	2775.8
			3511787465.066406	2780.2
			3511787478.003906	2770
			3511787508.675781	2771.7
			3511787521.652344	2777.6
			3511787552.359375	2779.7
			3511787565.277344	2785
			3511787595.859375	2782.6
			3511787608.84375	2780.8
			3511787639.4375	2775.5
			3511787652.4375	2776.8
			3511787683.214844	2779.6
			3511787696.164062	2783.1
			3511787726.773438	2772.6
			3511787739.683594	2762.8
			3511787770.300781	2774.6
			3511787783.28125	2783.1
			3511787813.953125	2773.3
			3511787826.941406	2765.7
			3511787857.546875	2787.8
			3511787870.519531	2790.8
			3511787901.144531	2773.3
			3511787914.121094	2770
			3511787944.777344	2789
			3511787957.757812	2787.5
			3511787988.355469	2776.6
			3511788001.34375	2773.1
			3511788031.984375	2787.4
0.41875753	0.61180228	0.097924098	3511788044.96875	2796.4
			3511788075.640625	2776.9
0.34627101	0.60948068	0.080978714	3511788088.632812	2750.5
			3511788119.292969	2677.6
0.43993837	0.54167515	0.091175951	3511788132.34375	2646.7
			3511788163.144531	2574
0.59618956	0.57057869	0.12915756	3511788176.082031	2548.6
			3511788206.84375	2485
0.67566246	0.45652944	0.11691143	3511788219.773438	2455.7
			3511788250.574219	2378.6
0.59669131	0.81239051	0.18810105	3511788263.5625	2349.2
			3511788294.335938	2286.2
0.59465063	0.79443347	0.18025087	3511788307.292969	2265.9
			3511788338.164062	2201.3
0.56255203	0.54926276	0.11896407	3511788351.054688	2213.6
			3511788381.816406	2215.7
0.60722452	0.48429295	0.11444358	3511788394.742188	2212.8
			3511788425.40625	2223.9
0.64158404	0.49343163	0.1226581	3511788438.285156	2214.1
			3511788469.023438	2212.7
0.64530605	0.62804377	0.15765601	3511788481.921875	2219.3
			3511788512.617188	2219.2
0.76920873	0.71498841	0.21420847	3511788525.515625	2215.1
			3511788556.339844	2225
0.68881595	0.66560686	0.175935	3511788569.320312	2216
			3511788599.90625	2225.7
0.59566849	0.70597589	0.16420481	3511788612.761719	2225.4
			3511788643.417969	2219.2
0.60054344	0.74378645	0.17135392	3511788656.308594	2215.6
			3511788687.097656	2220.5
0.60212308	0.61081976	0.1407325	3511788699.988281	2222.7
			3511788730.648438	2293.3
0.60546678	0.70736349	0.16483888	3511788743.542969	2323.2
			3511788774.308594	2391.6
0.53819507	0.44454554	0.091587208	3511788787.207031	2422.1
			3511788818.039062	2492.4
0.63290942	0.36912134	0.087829173	3511788831.058594	2523.8
			3511788861.746094	2593.5
0.74063551	0.5716396	0.16363372	3511788874.730469	2625.3
			3511788905.363281	2682
0.58298045	0.62193173	0.14112209	3511788918.300781	2709.5
			3511788948.941406	2779.8
0.47529727	0.37214381	0.06933146	3511788962.011719	2813.5
			3511788992.890625	2858.7
0.53461081	0.51367205	0.10497626	3511789005.722656	2890.2
			3511789036.660156	2955.5
0.46144995	0.46353766	0.08076898	3511789049.640625	2985.7
			3511789080.53125	3050.9
0.39603609	0.67278802	0.10122566	3511789093.472656	3071.7
			3511789124.453125	3146.1
0.6765945	0.40462169	0.10579928	3511789137.421875	3174.5
			3511789168.371094	3248
0.70108807	0.44432351	0.11733004	3511789181.214844	3268.5
			3511789212.222656	3269.5
0.68998998	0.42497543	0.11057009	3511789225.308594	3269
			3511789256.207031	3264.9
0.80846423	0.70610815	0.21566813	3511789269.21875	3262.3
			3511789300.105469	3274.5
0.7515102	0.68270773	0.1926081	3511789312.984375	3273.2
			3511789343.90625	3264.4
0.74631733	0.50949842	0.1468201	3511789356.957031	3273.6
			3511789387.714844	3260.7
0.84439611	0.4423494	0.14078692	3511789400.679688	3265.9
			3511789431.511719	3278.6
0.71071076	0.52389693	0.1406572	3511789444.429688	3274.2
			3511789475.203125	3263.2
0.77563286	0.63649803	0.18530792	3511789488.160156	3263.4
			3511789518.910156	3331.9
0.76266801	0.51909405	0.15029508	3511789531.921875	3364.2
			3511789562.601562	3397.3
0.79216278	0.52376008	0.16317385	3511789575.503906	3399.4
			3511789606.109375	3402.4
0.82135499	0.56057221	0.17316061	3511789619.152344	3395.7
			3511789650.011719	3402.2
0.73883367	0.48140582	0.1349646	3511789662.882812	3400
			3511789693.871094	3400.8
0.80647779	0.55395311	0.16944009	3511789706.886719	3396.1
			3511789737.742188	3409.1
0.71759027	0.51090759	0.13868892	3511789750.601562	3403.2
			3511789781.277344	3407.9
0.7520209	0.49658048	0.14153595	3511789794.222656	3401.9
			3511789825.003906	3399.8
0.71425444	0.54566592	0.1474465	3511789837.917969	3397.2
			3511789868.671875	3396.7
0.82804495	0.65517318	0.20285454	3511789881.632812	3381.4
			3511789912.375	3312.5
0.78966331	0.61529118	0.18390833	3511789925.273438	3278.6
			3511789955.921875	3205.2
0.76529074	0.36292782	0.10601518	3511789968.769531	3173.6
			3511789999.5	3109.1
0.64205307	0.42722452	0.10486633	3511790012.433594	3097.7
			3511790043.132812	3042.5
0.92891347	0.46417895	0.18122554	3511790056.074219	3002.1
			3511790086.800781	2932.3
0.7523523	0.42045721	0.12139308	3511790099.746094	2906.8
			3511790130.40625	2836.8
0.63617533	0.47741008	0.11584488	3511790143.355469	2808.8
			3511790174.128906	2786.3
0.68260932	0.38648918	0.10104316	3511790187.125	2782.2
			3511790217.785156	2780.6
0.78399581	0.41496435	0.12286612	3511790230.824219	2784.1
			3511790261.464844	2791.5
0.60537016	0.54896808	0.1465379	3511790274.4375	2784.7
			3511790305.054688	2785.5
0.67312819	0.38984063	0.10019954	3511790317.988281	2778.2
			3511790348.65625	2791.4
0.70390671	0.39500332	0.10604341	3511790361.621094	2801.9
			3511790392.28125	2805
0.58711576	0.42749238	0.096964762	3511790405.25	2795.6
			3511790435.828125	2854.9
0.58315921	0.37480646	0.083161771	3511790448.859375	2871.9
			3511790479.566406	2938.4
0.53651118	0.40098405	0.081456997	3511790492.460938	2958.6
			3511790523.121094	3021
0.61160851	0.3411518	0.079596817	3511790536.117188	3054.6
			3511790566.738281	3084
0.73895478	0.42022383	0.11878511	3511790579.738281	3079.6
			3511790610.335938	3075.4
0.76964796	0.49896467	0.14449023	3511790623.304688	3065.4
			3511790653.953125	3075.4
0.68061042	0.32673627	0.092444465	3511790666.921875	3075.6
			3511790697.558594	3075.8
0.59584749	0.49477544	0.11211456	3511790710.519531	3076.8
			3511790741.144531	3083.4
0.79076886	0.45532736	0.13625145	3511790754.140625	3071.5
			3511790784.808594	3073.2
0.73466659	0.37775692	0.10571542	3511790797.757812	3077.5
			3511790828.496094	3070.9
0.7162714	0.36497179	0.09975554	3511790841.460938	3064.8
			3511790872.328125	3083.5
0.65946782	0.38975352	0.096474141	3511790885.238281	3084.1
			3511790915.992188	3076.4
0.65565389	0.45772448	0.11324041	3511790929.039062	3080.9
			3511790959.675781	3073.8
0.74086624	0.39191395	0.10887692	3511790972.644531	3084.8
			3511791003.273438	3078.3
0.7345897	0.50546753	0.1415206	3511791016.273438	3070.1
			3511791046.960938	3082.2
0.69320714	0.36028552	0.095667265	3511791059.910156	3068.4
			3511791090.78125	3080.2
0.75065815	0.35554191	0.10076233	3511791103.605469	3082.6
			3511791134.214844	3076.6
0.72982401	0.42899859	0.11943169	3511791147.34375	3076.9
			3511791178.144531	3084.6
0.73630637	0.41433263	0.11421297	3511791191.050781	3070
			3511791221.785156	3073.1
0.68751687	0.41617963	0.10947756	3511791234.707031	3086.5
			3511791265.390625	3077.1
0.62738889	0.38206849	0.090574466	3511791278.253906	3088.4
			3511791308.996094	3085.9
0.65718257	0.41821021	0.10358528	3511791321.867188	3079.4
			3511791352.6875	3084.3
0.64069575	0.38930184	0.094617106	3511791365.773438	3083.6
			3511791396.429688	3087.7
0.56963515	0.44115072	0.096140824	3511791409.460938	3095.8
			3511791440.09375	3166.1
0.58012658	0.38948685	0.086775281	3511791453.03125	3187.9
			3511791483.699219	3234.3
0.69487178	0.36543438	0.095812865	3511791496.667969	3260.9
			3511791527.335938	3328.5
0.66515779	0.49684924	0.12585185	3511791540.289062	3343.8
			3511791570.949219	3362.1
0.69999564	0.46032947	0.12616134	3511791583.898438	3369.1
			3511791614.671875	3367.4
			3511791627.601562	3367.5
			3511791658.410156	3361.6
			3511791671.355469	3368.5
			3511791702.054688	3362.9
			3511791715.074219	3363.2
			3511791745.6875	3369.9
			3511791758.695312	3367.2
			3511791789.324219	3360
			3511791802.339844	3353.9
			3511791833.070312	3369.6
			3511791846.035156	3354.8
			3511791876.871094	3371.4
			3511791889.753906	3360.2
			3511795626.953125	3368
0.73312521	0.31533077	0.089491226	3511795640.125	3361.9
			3511795670.78125	3330.1
0.80991042	0.29936633	0.093872294	3511795683.46875	3299
			3511795714.007812	3206.7
0.75532168	0.21789825	0.063088	3511795726.8125	3172.4
			3511795757.429688	3099
0.65610504	0.14477956	0.03691113	3511795770.25	3065.8
			3511795800.929688	2971.7
0.75296223	0.24455483	0.069924757	3511795813.648438	2940.2
			3511795844.132812	2850.8
0.64637893	0.24944234	0.063828319	3511795856.945312	2829
			3511795887.515625	2758.7
0.79835206	0.21316743	0.07366892	3511795900.242188	2725.3
			3511795930.921875	2657.8
0.60316455	0.17840032	0.042346455	3511795943.617188	2635.7
			3511795974.101562	2541.5
0.49582052	0.54004741	0.10178731	3511795986.796875	2511.8
			3511796017.382812	2439.7
0.31531295	1.0010357	0.11998246	3511796030.125	2405.5
			3511796060.632812	2314.3
0.3807531	1.0445118	0.15058984	3511796073.429688	2280.9
			3511796103.9375	2211.6
0.600631	0.5882594	0.1405053	3511796116.640625	2173.3
			3511796147.34375	2111.4
0.74564415	0.48434058	0.1388897	3511796160.054688	2083.2
			3511796190.578125	2017.6
0.60508585	0.26642594	0.065533251	3511796203.257812	1991.2
