YYYY/MM/DD	HH:mm:ss	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer
		Indicated Air Speed	Intertial Vertical Speed	True Airspeed	MACH	Outside Air Temperature	Total Air Temperature Static	PALT 1013,25mB
		Spot	Spot	Spot	Spot	Spot	Spot	Spot
		knots	knots	knots	N/A	deg	deg	fts
2015/04/07	16:08:59.000000	4.06	96.00	3.81	0.00631	99.99	99.99	494.00
2015/04/07	16:09:00.000000	5.06	96.00	4.75	0.00775	-27.75	-27.75	494.00
2015/04/07	16:09:01.000000	0.00	-64.00	0.00	0.00000	-27.75	-27.75	492.00
2015/04/07	16:09:02.000000	0.00	-96.00	0.00	0.00000	-27.75	-27.75	491.00
2015/04/07	16:09:03.000000	0.00	-16.00	0.00	0.00000	-27.75	-27.75	493.00
2015/04/07	16:09:04.000000	2.38	384.00	2.19	0.00356	-27.75	-27.75	494.00
2015/04/07	16:09:05.000000	0.00	-272.00	0.00	0.00000	-27.75	-27.75	491.00
2015/04/07	16:09:06.000000	0.00	-64.00	0.00	0.00000	-27.75	-27.75	491.00
2015/04/07	16:09:07.000000	0.00	160.00	0.00	0.00000	-27.75	-27.75	494.00
2015/04/07	16:09:08.000000	0.00	-96.00	0.00	0.00000	-27.75	-27.75	491.00
2015/04/07	16:09:09.000000	0.00	-96.00	0.00	0.00000	-27.75	-27.75	491.00
2015/04/07	16:09:10.000000	0.00	112.00	0.00	0.00000	-27.75	-27.75	493.00
2015/04/07	16:09:11.000000	2.94	48.00	2.69	0.00450	-27.75	-27.75	493.00
2015/04/07	16:09:12.000000	2.62	-112.00	2.44	0.00400	-27.75	-27.75	492.00
2015/04/07	16:09:13.000000	0.00	16.00	0.00	0.00000	-27.75	-27.75	492.00
2015/04/07	16:09:14.000000	0.00	48.00	0.00	0.00000	-27.75	-27.75	492.00
2015/04/07	16:09:15.000000	0.00	-96.00	0.00	0.00000	-27.75	-27.75	491.00
2015/04/07	16:09:16.000000	0.00	192.00	0.00	0.00000	-27.75	-27.75	492.00
2015/04/07	16:09:17.000000	0.00	-160.00	0.00	0.00000	-27.75	-27.75	492.00
2015/04/07	16:09:18.000000	0.00	0.00	0.00	0.00000	-27.75	-27.75	492.00
2015/04/07	16:09:19.000000	0.00	16.00	0.00	0.00000	-27.75	-27.75	490.00
2015/04/07	16:09:20.000000	4.81	-48.00	4.44	0.00731	-27.75	-27.75	495.00
2015/04/07	16:09:21.000000	0.00	160.00	0.00	0.00000	-27.75	-27.75	492.00
2015/04/07	16:09:22.000000	0.00	-208.00	0.00	0.00000	-27.75	-27.75	497.00
2015/04/07	16:09:23.000000	0.00	336.00	0.00	0.00000	-27.75	-27.75	492.00
2015/04/07	16:09:24.000000	0.00	-320.00	0.00	0.00000	-27.75	-27.75	492.00
2015/04/07	16:09:25.000000	0.00	64.00	0.00	0.00000	-27.75	-27.75	492.00
