YYYY/MM/DD	HH:mm:ss	Type	Level	Origin	Message
2015/04/08	17:35:20.455973	Information	0	ValuePool	VP_dms1: Started
2015/04/08	17:35:20.465761	Information	0	ValuePool	VP_dms1: V2.7.13.6
2015/04/08	17:35:25.392252	Information	0	ValuePool	VP_dms1 Cons.: ErrorLogger at dms1 with IP 192.168.75.50 port 40420
2015/04/08	17:35:28.595381	Information	1229466086	DMS.DMS_ExternalDeviceMonitor	[Main - Start] Started successfully
2015/04/08	17:35:28.595465	Information	1657713527	DMS.DMS_ExternalDeviceMonitor	[Main - Debugging] Off
2015/04/08	17:35:29.775139	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/04/08	17:35:30.109516	Information	1229466086	DMS.DMS_Frontend.ADAC1	[Main - Start] Started successfully [ADAC1]
2015/04/08	17:35:30.109564	Information	1657713527	DMS.DMS_Frontend.ADAC1	[Main - Debugging] On [/data/DMS_ArchiveSet/System/DMS/current/config/Logging/log4cpp.ADAC1.properties]
2015/04/08	17:35:30.276175	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/04/08	17:35:30.777083	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/04/08	17:35:31.252454	Information	1964552444	DMS.DMS_Frontend.ADAC1	[Configuration - Loaded] 
2015/04/08	17:35:31.260371	Information	1916564851	DMS.DMS_Frontend.ADAC1	[Filedump-Storage - Start] Started successfully
2015/04/08	17:35:31.260437	Information	416757256	DMS.DMS_Frontend.ADAC1	[Database-Storage - Start] Started successfully
2015/04/08	17:35:31.260453	Information	452586908	DMS.DMS_Frontend.ADAC1	[Online-Display - Start] Started successfully
2015/04/08	17:35:31.261248	Information	857351104	DMS.DMS_Frontend.ADAC1	[ValuePool - Connection Established] localhost:13000
2015/04/08	17:35:31.266970	Information	2043744590	DMS.DMS_Frontend.ADAC1	[DataLogger - Connection Established] localhost:5432
2015/04/08	17:35:31.278098	Information	567668653	DMS.DMS_Frontend.ADAC1	[Subsystem - Connection Established] client-mode 192.168.75.10:30000
2015/04/08	17:35:31.278400	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/04/08	17:35:31.779609	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/04/08	17:35:31.859235	Information	291977682	DMS.DMS_ExternalDeviceMonitor	[Main - Init] Found 16 external devices and defined 176 channels.
2015/04/08	17:35:35.691115	Information	1229466086	DMS.DMS_Frontend.ADAN1	[Main - Start] Started successfully [ADAN1]
2015/04/08	17:35:35.691160	Information	1657713527	DMS.DMS_Frontend.ADAN1	[Main - Debugging] On [/data/DMS_ArchiveSet/System/DMS/current/config/Logging/log4cpp.ADAN1.properties]
2015/04/08	17:35:36.839455	Information	1964552444	DMS.DMS_Frontend.ADAN1	[Configuration - Loaded] 
2015/04/08	17:35:36.841481	Information	1916564851	DMS.DMS_Frontend.ADAN1	[Filedump-Storage - Start] Started successfully
2015/04/08	17:35:36.841630	Information	416757256	DMS.DMS_Frontend.ADAN1	[Database-Storage - Start] Started successfully
2015/04/08	17:35:36.841636	Information	452586908	DMS.DMS_Frontend.ADAN1	[Online-Display - Start] Started successfully
2015/04/08	17:35:36.842511	Information	857351104	DMS.DMS_Frontend.ADAN1	[ValuePool - Connection Established] localhost:13000
2015/04/08	17:35:36.846980	Information	2043744590	DMS.DMS_Frontend.ADAN1	[DataLogger - Connection Established] localhost:5432
2015/04/08	17:35:36.858565	Information	567668653	DMS.DMS_Frontend.ADAN1	[Subsystem - Connection Established] client-mode 192.168.75.11:30000
2015/04/08	17:35:41.275292	Information	1229466086	DMS.DMS_Frontend.ADAR1	[Main - Start] Started successfully [ADAR1]
2015/04/08	17:35:41.275340	Information	1657713527	DMS.DMS_Frontend.ADAR1	[Main - Debugging] On [/data/DMS_ArchiveSet/System/DMS/current/config/Logging/log4cpp.ADAR1.properties]
