YYYY/MM/DD	HH:mm:ss	Type	Level	Origin	Message
2015/03/28	11:58:48.581215	Information	0	ValuePool	VP_dms1: Started
2015/03/28	11:58:48.591392	Information	0	ValuePool	VP_dms1: V2.7.13.6
2015/03/28	11:58:53.527388	Information	0	ValuePool	VP_dms1 Cons.: ErrorLogger at dms1 with IP 192.168.75.50 port 44850
2015/03/28	11:58:56.730300	Information	1229466086	DMS.DMS_ExternalDeviceMonitor	[Main - Start] Started successfully
2015/03/28	11:58:56.730387	Information	1657713527	DMS.DMS_ExternalDeviceMonitor	[Main - Debugging] Off
2015/03/28	11:58:57.883600	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/03/28	11:58:58.243578	Information	1229466086	DMS.DMS_Frontend.ADAC1	[Main - Start] Started successfully [ADAC1]
2015/03/28	11:58:58.243624	Information	1657713527	DMS.DMS_Frontend.ADAC1	[Main - Debugging] On [/data/DMS_ArchiveSet/System/DMS/current/config/Logging/log4cpp.ADAC1.properties]
2015/03/28	11:58:58.384940	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/03/28	11:58:58.886057	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/03/28	11:58:59.387275	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/03/28	11:58:59.405501	Information	1964552444	DMS.DMS_Frontend.ADAC1	[Configuration - Loaded] 
2015/03/28	11:58:59.413646	Information	1916564851	DMS.DMS_Frontend.ADAC1	[Filedump-Storage - Start] Started successfully
2015/03/28	11:58:59.413648	Information	416757256	DMS.DMS_Frontend.ADAC1	[Database-Storage - Start] Started successfully
2015/03/28	11:58:59.413657	Information	452586908	DMS.DMS_Frontend.ADAC1	[Online-Display - Start] Started successfully
2015/03/28	11:58:59.414404	Information	857351104	DMS.DMS_Frontend.ADAC1	[ValuePool - Connection Established] localhost:13000
