YYYY/MM/DD	HH:mm:ss	[B712 Basic Meteorology] Dynamic Pressure 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Static Pressure Fast 3	[B712 Basic Meteorology] Total Air Temperature Deiced 4
		Dynamic Pressure Raw	Relative Humidity Raw	Temperature raw	Static Pressure Fast Raw	Total Air Temperature deiced Raw
		Spot	Spot	Spot	Spot	Spot
		V	A	A	V	Ohm
2015/04/11	15:41:13.000000	0.056	9999999999.999999	9999999999.999999	4.140	999999.999
2015/04/11	15:41:14.000000	0.070	0.009605	0.002136	4.139	88.201
2015/04/11	15:41:15.000000	0.086	0.009612	0.002141	4.139	88.191
2015/04/11	15:41:16.000000	0.069	0.009631	0.002144	4.140	88.172
2015/04/11	15:41:17.000000	0.070	0.009630	0.002154	4.140	88.145
2015/04/11	15:41:18.000000	0.052	0.009582	0.002158	4.140	88.153
2015/04/11	15:41:19.000000	0.070	0.009641	0.002170	4.141	88.165
2015/04/11	15:41:20.000000	0.065	0.009629	0.002166	4.134	88.161
2015/04/11	15:41:21.000000	0.074	0.009678	0.002161	4.137	88.167
2015/04/11	15:41:22.000000	0.075	0.009658	0.002154	4.140	88.165
2015/04/11	15:41:23.000000	0.058	0.009646	0.002144	4.141	88.170
2015/04/11	15:41:24.000000	0.061	0.009636	0.002139	4.141	88.178
2015/04/11	15:41:25.000000	0.067	0.009644	0.002138	4.141	88.184
2015/04/11	15:41:26.000000	0.070	0.009670	0.002106	4.140	88.192
2015/04/11	15:41:27.000000	0.066	0.009623	0.002090	4.137	88.168
2015/04/11	15:41:28.000000	0.065	0.009638	0.002078	4.139	88.141
2015/04/11	15:41:29.000000	0.073	0.009643	0.002078	4.141	88.115
2015/04/11	15:41:30.000000	0.048	0.009636	0.002079	4.140	88.087
2015/04/11	15:41:31.000000	0.066	0.009623	0.002069	4.142	88.062
2015/04/11	15:41:32.000000	0.053	0.009607	0.002071	4.141	88.032
2015/04/11	15:41:33.000000	0.062	0.009623	0.002061	4.140	88.026
2015/04/11	15:41:34.000000	0.071	0.009650	0.002057	4.140	88.013
2015/04/11	15:41:35.000000	0.053	0.009598	0.002063	4.140	88.017
2015/04/11	15:41:36.000000	0.051	0.009678	0.002084	4.139	88.012
2015/04/11	15:41:37.000000	0.059	0.009645	0.002094	4.140	88.035
2015/04/11	15:41:38.000000	0.050	0.009697	0.002106	4.140	88.046
2015/04/11	15:41:39.000000	0.058	0.009614	0.002133	4.140	88.046
2015/04/11	15:41:40.000000	0.062	0.009650	0.002141	4.139	88.049
2015/04/11	15:41:41.000000	0.080	0.009622	0.002159	4.135	88.076
2015/04/11	15:41:42.000000	0.101	0.009636	0.002172	4.141	88.083
2015/04/11	15:41:43.000000	0.063	0.009646	0.002185	4.138	88.099
2015/04/11	15:41:44.000000	0.056	0.009613	0.002203	4.138	88.111
2015/04/11	15:41:45.000000	0.064	0.009637	0.002212	4.139	88.125
2015/04/11	15:41:46.000000	0.078	0.009634	0.002222	4.142	88.148
2015/04/11	15:41:47.000000	0.071	0.009640	0.002230	4.143	88.156
2015/04/11	15:41:48.000000	0.067	0.009624	0.002239	4.138	88.169
