YYYY/MM/DD	HH:mm:ss	[B712 Basic Meteorology] Dynamic Pressure 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Static Pressure Fast 3	[B712 Basic Meteorology] Total Air Temperature Deiced 4
		Dynamic Pressure Raw	Relative Humidity Raw	Temperature raw	Static Pressure Fast Raw	Total Air Temperature deiced Raw
		Spot	Spot	Spot	Spot	Spot
		V	A	A	V	Ohm
2015/04/13	16:36:58.000000	3.978	0.002759	0.003050	1.544	91.106
2015/04/13	16:36:59.000000	4.017	0.002763	0.003054	1.544	91.107
2015/04/13	16:37:00.000000	3.983	0.002761	0.003056	1.545	91.124
2015/04/13	16:37:01.000000	4.015	0.002768	0.003059	1.545	91.131
2015/04/13	16:37:02.000000	4.018	0.002777	0.003054	1.545	91.130
2015/04/13	16:37:03.000000	4.029	0.002781	0.003053	1.545	91.132
2015/04/13	16:37:04.000000	4.045	0.002790	0.003058	1.545	91.137
2015/04/13	16:37:05.000000	4.045	0.002793	0.003056	1.543	91.131
2015/04/13	16:37:06.000000	4.005	0.002797	0.003056	1.542	91.130
2015/04/13	16:37:07.000000	3.970	0.002799	0.003056	1.546	91.142
2015/04/13	16:37:08.000000	3.978	0.002803	0.003057	1.546	91.137
2015/04/13	16:37:09.000000	3.983	0.002808	0.003052	1.543	91.137
2015/04/13	16:37:10.000000	3.992	0.002811	0.003052	1.541	91.127
2015/04/13	16:37:11.000000	3.952	0.002817	0.003054	1.543	91.121
2015/04/13	16:37:12.000000	3.917	0.002817	0.003052	1.545	91.123
2015/04/13	16:37:13.000000	3.884	0.002824	0.003057	1.547	91.123
2015/04/13	16:37:14.000000	3.906	0.002827	0.003053	1.547	91.118
2015/04/13	16:37:15.000000	3.906	0.002824	0.003047	1.543	91.110
2015/04/13	16:37:16.000000	3.849	0.002823	0.003045	1.546	91.107
2015/04/13	16:37:17.000000	3.827	0.002830	0.003047	1.538	91.096
2015/04/13	16:37:18.000000	3.794	0.002834	0.003042	1.544	91.099
2015/04/13	16:37:19.000000	3.805	0.002832	0.003039	1.541	91.089
2015/04/13	16:37:20.000000	3.770	0.002841	0.003032	1.537	91.083
2015/04/13	16:37:21.000000	3.791	0.002845	0.003032	1.539	91.076
2015/04/13	16:37:22.000000	3.765	0.002843	0.003036	1.538	91.062
2015/04/13	16:37:23.000000	3.731	0.002850	0.003029	1.540	91.053
2015/04/13	16:37:24.000000	3.715	0.002860	0.003028	1.537	91.035
2015/04/13	16:37:25.000000	3.743	0.002852	0.003021	1.532	91.034
2015/04/13	16:37:26.000000	3.747	0.002857	0.003024	1.530	91.020
2015/04/13	16:37:27.000000	3.750	0.002861	0.003024	1.529	91.007
2015/04/13	16:37:28.000000	3.732	0.002878	0.003024	1.530	90.994
2015/04/13	16:37:29.000000	3.720	0.002873	0.003029	1.530	90.996
2015/04/13	16:37:30.000000	3.700	0.002882	0.003030	1.530	90.991
2015/04/13	16:37:31.000000	3.674	0.002886	0.003031	1.528	90.987
2015/04/13	16:37:32.000000	3.699	0.002887	0.003033	1.527	90.980
2015/04/13	16:37:33.000000	3.668	0.002889	0.003032	1.529	90.984
