YYYY/MM/DD	HH:mm:ss	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System
		Ground Speed	Inertial Altitude	Inertial Vertical Speed	Magenitc Heading	Pitch Angle	Pitch Rate	Roll Angle	Roll Rate	True Heading	Vertical Acceleration	X Acceleration	Y Acceleration	Yaw Rate	Z Acceleration
		Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot
		knots	fts	ft/min	deg	deg	deg/s	deg	deg/s	deg	g	g	g	deg/s	g
2015/04/13	16:36:53.000000	159.28	-20.50	-173.125	-15.32	2.49	0.24	-0.07	-0.15	-96.29	0.020	0.05611	0.00296	-0.05	0.01831
2015/04/13	16:36:54.000000	159.42	-20.25	-139.625	-15.40	2.57	0.04	-0.01	0.11	-96.35	0.024	0.05479	0.00055	-0.19	0.02138
2015/04/13	16:36:55.000000	159.59	-19.38	-118.250	-15.63	2.44	-0.25	0.17	0.02	-96.58	-0.011	0.05196	-0.00609	-0.27	-0.01387
2015/04/13	16:36:56.000000	159.78	-18.62	-133.375	-15.81	2.30	-0.06	0.22	-0.04	-96.78	-0.016	0.05020	-0.00548	-0.09	-0.01810
2015/04/13	16:36:57.000000	159.97	-18.12	-128.875	-15.81	2.39	0.19	0.51	0.12	-96.78	0.009	0.05151	-0.01035	0.06	0.00945
2015/04/13	16:36:58.000000	160.12	-17.25	-92.625	-15.64	2.56	0.12	0.29	-0.29	-96.63	0.016	0.05190	-0.00394	0.25	0.01601
2015/04/13	16:36:59.000000	160.25	-16.12	-67.250	-15.38	2.56	-0.06	0.18	0.04	-96.37	0.002	0.05197	-0.00111	0.23	-0.00061
