YYYY/MM/DD	HH:mm:ss	[B839 KT19] KT19 radiation thermometer analog	[B840 Integral Radiation Sensors] Pyranometer 3	[B840 Integral Radiation Sensors] Pyranometer 3	[B840 Integral Radiation Sensors] Pyranometer 4	[B840 Integral Radiation Sensors] Pyranometer 4	[B840 Integral Radiation Sensors] Pyrgeometer 3	[B840 Integral Radiation Sensors] Pyrgeometer 3	[B840 Integral Radiation Sensors] Pyrgeometer 4	[B840 Integral Radiation Sensors] Pyrgeometer 4
		Temperature Raw	Shortwave Irradiance top temperature raw	Shortwave Irradiance top value raw	Shortwave Irradiance bottom temperature raw	Shortwave Irradiance bottom value raw	Longwave Irradiance top temperature raw	Longwave Irradiance top value raw	Longwave Irradiance bottom temperature raw	Longwave Irradiance bottom value raw
		Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot
		A	Ohm	A	Ohm	A	Ohm	mA	Ohm	mA
2015/03/27	13:37:42.000000	0.000000	104.443	0.005564	103.237	0.004441	104.401	0.011307	103.182	0.011951
2015/03/27	13:37:43.000000	-0.000001	104.444	0.005566	103.237	0.004441	104.401	0.011309	103.182	0.011952
2015/03/27	13:37:44.000000	-0.000000	104.444	0.005565	103.237	0.004441	104.401	0.011304	103.183	0.011953
2015/03/27	13:37:45.000000	-0.000000	104.444	0.005563	103.238	0.004440	104.401	0.011304	103.183	0.011951
2015/03/27	13:37:46.000000	-0.000000	104.444	0.005558	103.238	0.004441	104.401	0.011300	103.183	0.011953
2015/03/27	13:37:47.000000	0.000001	104.444	0.005557	103.238	0.004441	104.402	0.011300	103.183	0.011954
2015/03/27	13:37:48.000000	-0.000000	104.444	0.005555	103.238	0.004440	104.402	0.011299	103.183	0.011953
2015/03/27	13:37:49.000000	0.000000	104.444	0.005553	103.238	0.004441	104.403	0.011267	103.183	0.011952
2015/03/27	13:37:50.000000	-0.000000	104.445	0.005552	103.238	0.004441	104.403	0.011267	103.183	0.011953
2015/03/27	13:37:51.000000	-0.000000	104.445	0.005549	103.239	0.004437	104.407	0.011278	103.183	0.011951
2015/03/27	13:37:52.000000	0.000000	104.445	0.005549	103.239	0.004440	104.411	0.011291	103.182	0.011949
2015/03/27	13:37:53.000000	-0.000000	104.445	0.005547	103.239	0.004440	104.411	0.011296	103.182	0.011952
2015/03/27	13:37:54.000000	-0.000000	104.445	0.005546	103.240	0.004439	104.412	0.011305	103.182	0.011949
2015/03/27	13:37:55.000000	0.000000	104.446	0.005545	103.240	0.004441	104.412	0.011308	103.181	0.011948
2015/03/27	13:37:56.000000	-0.000000	104.446	0.005546	103.240	0.004441	104.412	0.011315	103.181	0.011946
2015/03/27	13:37:57.000000	-0.000000	104.446	0.005544	103.240	0.004440	104.413	0.011321	103.181	0.011943
2015/03/27	13:37:58.000000	0.000000	104.447	0.005541	103.240	0.004439	104.413	0.011322	103.180	0.011942
2015/03/27	13:37:59.000000	0.000001	104.446	0.005544	103.240	0.004440	104.412	0.011321	103.180	0.011942
2015/03/27	13:38:00.000000	0.000000	104.446	0.005544	103.240	0.004442	104.412	0.011314	103.180	0.011940
2015/03/27	13:38:01.000000	-0.000000	104.447	0.005545	103.241	0.004441	104.412	0.011316	103.180	0.011940
2015/03/27	13:38:02.000000	0.000000	104.447	0.005546	103.241	0.004440	104.413	0.011322	103.180	0.011939
2015/03/27	13:38:03.000000	-0.000000	104.447	0.005547	103.241	0.004440	104.412	0.011323	103.179	0.011940
2015/03/27	13:38:04.000000	0.000001	104.448	0.005547	103.241	0.004440	104.412	0.011324	103.179	0.011939
2015/03/27	13:38:05.000000	0.000001	104.448	0.005549	103.242	0.004441	104.412	0.011323	103.180	0.011942
2015/03/27	13:38:06.000000	-0.000000	104.447	0.005551	103.242	0.004440	104.412	0.011325	103.179	0.011944
2015/03/27	13:38:07.000000	0.000000	104.448	0.005555	103.242	0.004441	104.411	0.011329	103.179	0.011944
2015/03/27	13:38:08.000000	0.000000	104.448	0.005555	103.242	0.004441	104.410	0.011328	103.178	0.011940
2015/03/27	13:38:09.000000	0.000000	104.448	0.005557	103.242	0.004442	104.410	0.011331	103.178	0.011940
2015/03/27	13:38:10.000000	0.000000	104.448	0.005559	103.242	0.004441	104.410	0.011326	103.178	0.011940
2015/03/27	13:38:11.000000	-0.000000	104.449	0.005560	103.242	0.004442	104.408	0.011331	103.178	0.011936
2015/03/27	13:38:12.000000	0.000000	104.449	0.005564	103.243	0.004441	104.408	0.011334	103.178	0.011937
2015/03/27	13:38:13.000000	-0.000000	104.449	0.005565	103.243	0.004442	104.407	0.011334	103.177	0.011936
2015/03/27	13:38:14.000000	0.000001	104.450	0.005568	103.243	0.004442	104.407	0.011333	103.177	0.011935
2015/03/27	13:38:15.000000	-0.000000	104.450	0.005566	103.243	0.004442	104.406	0.011338	103.177	0.011933
2015/03/27	13:38:16.000000	0.000001	104.450	0.005574	103.243	0.004447	104.405	0.011341	103.176	0.011931
2015/03/27	13:38:17.000000	0.000000	104.451	0.005577	103.244	0.004442	104.405	0.011344	103.177	0.011930
2015/03/27	13:38:18.000000	-0.000001	104.451	0.005580	103.244	0.004441	104.403	0.011341	103.177	0.011930
2015/03/27	13:38:19.000000	-0.000000	104.450	0.005580	103.244	0.004442	104.401	0.011343	103.176	0.011929
2015/03/27	13:38:20.000000	0.000001	104.451	0.005583	103.244	0.004442	104.401	0.011339	103.176	0.011929
2015/03/27	13:38:21.000000	0.000000	104.451	0.005588	103.244	0.004442	104.400	0.011337	103.176	0.011929
2015/03/27	13:38:22.000000	-0.000001	104.451	0.005589	103.244	0.004442	104.400	0.011331	103.177	0.011930
2015/03/27	13:38:23.000000	-0.000000	104.452	0.005592	103.245	0.004441	104.399	0.011336	103.177	0.011930
2015/03/27	13:38:24.000000	0.000000	104.452	0.005594	103.245	0.004443	104.398	0.011340	103.177	0.011929
2015/03/27	13:38:25.000000	0.000000	104.452	0.005599	103.245	0.004441	104.398	0.011337	103.177	0.011927
2015/03/27	13:38:26.000000	-0.000001	104.452	0.005605	103.245	0.004442	104.397	0.011336	103.177	0.011926
2015/03/27	13:38:27.000000	0.000001	104.452	0.005609	103.245	0.004442	104.396	0.011336	103.176	0.011927
2015/03/27	13:38:28.000000	0.000001	104.453	0.005615	103.245	0.004442	104.396	0.011337	103.176	0.011928
2015/03/27	13:38:29.000000	-0.000001	104.453	0.005619	103.246	0.004441	104.395	0.011338	103.177	0.011929
2015/03/27	13:38:30.000000	0.000001	104.453	0.005625	103.246	0.004437	104.395	0.011330	103.178	0.011927
2015/03/27	13:38:31.000000	-0.000000	104.453	0.005631	103.246	0.004441	104.393	0.011325	103.178	0.011930
2015/03/27	13:38:32.000000	-0.000000	104.453	0.005637	103.246	0.004440	104.393	0.011326	103.178	0.011930
2015/03/27	13:38:33.000000	0.000000	104.453	0.005642	103.246	0.004442	104.393	0.011326	103.179	0.011927
2015/03/27	13:38:34.000000	0.000000	104.453	0.005648	103.246	0.004442	104.393	0.011331	103.179	0.011930
2015/03/27	13:38:35.000000	0.000000	104.453	0.005655	103.246	0.004441	104.392	0.011337	103.180	0.011930
2015/03/27	13:38:36.000000	-0.000001	104.453	0.005660	103.246	0.004443	104.392	0.011343	103.180	0.011930
2015/03/27	13:38:37.000000	0.000001	104.453	0.005666	103.246	0.004443	104.390	0.011346	103.180	0.011932
2015/03/27	13:38:38.000000	0.000001	104.454	0.005672	103.246	0.004442	104.390	0.011342	103.181	0.011933
2015/03/27	13:38:39.000000	-0.000001	104.454	0.005676	103.247	0.004442	104.389	0.011338	103.181	0.011934
2015/03/27	13:38:40.000000	0.000001	104.454	0.005684	103.247	0.004443	104.388	0.011336	103.181	0.011934
2015/03/27	13:38:41.000000	0.000000	104.454	0.005691	103.247	0.004443	104.388	0.011340	103.181	0.011934
2015/03/27	13:38:42.000000	-0.000000	104.454	0.005697	103.247	0.004442	104.387	0.011337	103.181	0.011934
2015/03/27	13:38:43.000000	0.000000	104.455	0.005701	103.247	0.004443	104.386	0.011336	103.181	0.011935
2015/03/27	13:38:44.000000	0.000000	104.454	0.005711	103.247	0.004443	104.386	0.011331	103.181	0.011935
2015/03/27	13:38:45.000000	0.000000	104.454	0.005718	103.247	0.004442	104.385	0.011325	103.182	0.011936
2015/03/27	13:38:46.000000	0.000000	104.455	0.005725	103.247	0.004443	104.385	0.011325	103.182	0.011936
2015/03/27	13:38:47.000000	0.000000	104.455	0.005733	103.247	0.004442	104.385	0.011332	103.182	0.011936
2015/03/27	13:38:48.000000	0.000001	104.455	0.005740	103.247	0.004444	104.384	0.011330	103.182	0.011936
2015/03/27	13:38:49.000000	-0.000000	104.455	0.005747	103.247	0.004444	104.384	0.011326	103.182	0.011940
2015/03/27	13:38:50.000000	0.000000	104.455	0.005753	103.247	0.004443	104.383	0.011326	103.182	0.011944
2015/03/27	13:38:51.000000	-0.000000	104.455	0.005759	103.247	0.004444	104.383	0.011326	103.181	0.011941
2015/03/27	13:38:52.000000	-0.000000	104.455	0.005765	103.248	0.004444	104.383	0.011329	103.181	0.011941
2015/03/27	13:38:53.000000	0.000000	104.455	0.005772	103.248	0.004444	104.383	0.011329	103.181	0.011940
2015/03/27	13:38:54.000000	0.000000	104.454	0.005779	103.248	0.004443	104.383	0.011329	103.181	0.011939
2015/03/27	13:38:55.000000	0.000000	104.454	0.005784	103.248	0.004443	104.384	0.011325	103.181	0.011939
2015/03/27	13:38:56.000000	-0.000000	104.454	0.005791	103.248	0.004444	104.385	0.011316	103.180	0.011937
2015/03/27	13:38:57.000000	0.000001	104.455	0.005798	103.248	0.004446	104.385	0.011325	103.179	0.011935
2015/03/27	13:38:58.000000	0.000000	104.455	0.005803	103.248	0.004443	104.387	0.011332	103.179	0.011931
2015/03/27	13:38:59.000000	0.000001	104.455	0.005808	103.248	0.004444	104.388	0.011331	103.180	0.011930
2015/03/27	13:39:00.000000	-0.000000	104.455	0.005811	103.249	0.004444	104.388	0.011327	103.180	0.011929
