YYYY/MM/DD	HH:mm:ss	Type	Level	Origin	Message
2015/04/07	16:08:46.762584	Information	0	ValuePool	VP_dms1: Started
2015/04/07	16:08:46.774613	Information	0	ValuePool	VP_dms1: V2.7.13.6
2015/04/07	16:08:51.702016	Information	0	ValuePool	VP_dms1 Cons.: ErrorLogger at dms1 with IP 192.168.75.50 port 53326
2015/04/07	16:08:54.903746	Information	1229466086	DMS.DMS_ExternalDeviceMonitor	[Main - Start] Started successfully
2015/04/07	16:08:54.903837	Information	1657713527	DMS.DMS_ExternalDeviceMonitor	[Main - Debugging] Off
2015/04/07	16:08:56.351641	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/04/07	16:08:56.592180	Information	1229466086	DMS.DMS_Frontend.ADAC1	[Main - Start] Started successfully [ADAC1]
2015/04/07	16:08:56.592225	Information	1657713527	DMS.DMS_Frontend.ADAC1	[Main - Debugging] On [/data/DMS_ArchiveSet/System/DMS/current/config/Logging/log4cpp.ADAC1.properties]
2015/04/07	16:08:56.852794	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/04/07	16:08:57.354521	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/04/07	16:08:57.743939	Information	1964552444	DMS.DMS_Frontend.ADAC1	[Configuration - Loaded] 
2015/04/07	16:08:57.751944	Information	1916564851	DMS.DMS_Frontend.ADAC1	[Filedump-Storage - Start] Started successfully
2015/04/07	16:08:57.752013	Information	416757256	DMS.DMS_Frontend.ADAC1	[Database-Storage - Start] Started successfully
2015/04/07	16:08:57.752031	Information	452586908	DMS.DMS_Frontend.ADAC1	[Online-Display - Start] Started successfully
2015/04/07	16:08:57.752766	Information	857351104	DMS.DMS_Frontend.ADAC1	[ValuePool - Connection Established] localhost:13000
2015/04/07	16:08:57.757960	Information	2043744590	DMS.DMS_Frontend.ADAC1	[DataLogger - Connection Established] localhost:5432
2015/04/07	16:08:57.765774	Information	567668653	DMS.DMS_Frontend.ADAC1	[Subsystem - Connection Established] client-mode 192.168.75.10:30000
2015/04/07	16:08:57.855445	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/04/07	16:08:58.356396	Information	857351104	DMS.DMS_ExternalDeviceMonitor	[ValuePool - Connection Established] Host: localhost, Port: 13000
2015/04/07	16:08:58.436587	Information	291977682	DMS.DMS_ExternalDeviceMonitor	[Main - Init] Found 16 external devices and defined 176 channels.
2015/04/07	16:09:02.197685	Information	1229466086	DMS.DMS_Frontend.ADAN1	[Main - Start] Started successfully [ADAN1]
2015/04/07	16:09:02.197733	Information	1657713527	DMS.DMS_Frontend.ADAN1	[Main - Debugging] On [/data/DMS_ArchiveSet/System/DMS/current/config/Logging/log4cpp.ADAN1.properties]
2015/04/07	16:09:03.573921	Information	1964552444	DMS.DMS_Frontend.ADAN1	[Configuration - Loaded] 
2015/04/07	16:09:03.576222	Information	416757256	DMS.DMS_Frontend.ADAN1	[Database-Storage - Start] Started successfully
