YYYY/MM/DD	HH:mm:ss	[B839 KT19] KT19 radiation thermometer analog	[B840 Integral Radiation Sensors] Pyranometer 3	[B840 Integral Radiation Sensors] Pyranometer 3	[B840 Integral Radiation Sensors] Pyranometer 4	[B840 Integral Radiation Sensors] Pyranometer 4	[B840 Integral Radiation Sensors] Pyrgeometer 3	[B840 Integral Radiation Sensors] Pyrgeometer 3	[B840 Integral Radiation Sensors] Pyrgeometer 4	[B840 Integral Radiation Sensors] Pyrgeometer 4
		Temperature Raw	Shortwave Irradiance top temperature raw	Shortwave Irradiance top value raw	Shortwave Irradiance bottom temperature raw	Shortwave Irradiance bottom value raw	Longwave Irradiance top temperature raw	Longwave Irradiance top value raw	Longwave Irradiance bottom temperature raw	Longwave Irradiance bottom value raw
		Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot
		A	Ohm	A	Ohm	A	Ohm	mA	Ohm	mA
2015/04/11	15:41:19.000000	0.008146	94.414	0.005947	89.940	0.005723	93.957	0.009726	89.708	0.011668
2015/04/11	15:41:20.000000	0.008164	94.414	0.005951	89.940	0.005724	93.957	0.009710	89.707	0.011670
2015/04/11	15:41:21.000000	0.008149	94.413	0.005955	89.940	0.005725	93.956	0.009653	89.707	0.011676
2015/04/11	15:41:22.000000	0.008160	94.413	0.005959	89.940	0.005725	93.963	0.009646	89.705	0.011677
2015/04/11	15:41:23.000000	0.008158	94.412	0.005957	89.938	0.005729	93.963	0.009653	89.703	0.011680
2015/04/11	15:41:24.000000	0.008141	94.412	0.005955	89.937	0.005727	93.973	0.009659	89.703	0.011677
2015/04/11	15:41:25.000000	0.008158	94.412	0.005952	89.937	0.005727	93.982	0.009693	89.702	0.011675
2015/04/11	15:41:26.000000	0.008142	94.411	0.005954	89.936	0.005728	93.982	0.009721	89.702	0.011676
2015/04/11	15:41:27.000000	0.008141	94.411	0.005953	89.935	0.005731	93.986	0.009738	89.700	0.011677
2015/04/11	15:41:28.000000	0.008126	94.410	0.005956	89.935	0.005730	93.986	0.009725	89.698	0.011680
2015/04/11	15:41:29.000000	0.008125	94.409	0.005955	89.934	0.005732	93.987	0.009743	89.698	0.011681
2015/04/11	15:41:30.000000	0.008141	94.409	0.005952	89.934	0.005727	93.987	0.009759	89.696	0.011674
2015/04/11	15:41:31.000000	0.008132	94.408	0.005948	89.933	0.005728	93.987	0.009749	89.695	0.011672
2015/04/11	15:41:32.000000	0.008114	94.408	0.005950	89.932	0.005727	93.987	0.009736	89.695	0.011674
2015/04/11	15:41:33.000000	0.008124	94.407	0.005953	89.932	0.005731	93.987	0.009728	89.693	0.011674
2015/04/11	15:41:34.000000	0.008150	94.407	0.005954	89.931	0.005729	93.987	0.009765	89.693	0.011670
2015/04/11	15:41:35.000000	0.008127	94.407	0.005949	89.930	0.005729	93.987	0.009774	89.691	0.011675
2015/04/11	15:41:36.000000	0.008152	94.406	0.005945	89.930	0.005729	93.987	0.009798	89.690	0.011675
2015/04/11	15:41:37.000000	0.008125	94.405	0.005939	89.928	0.005730	93.983	0.009800	89.690	0.011675
2015/04/11	15:41:38.000000	0.008130	94.405	0.005944	89.928	0.005728	93.978	0.009778	89.688	0.011679
2015/04/11	15:41:39.000000	0.008136	94.405	0.005945	89.927	0.005726	93.978	0.009767	89.686	0.011678
2015/04/11	15:41:40.000000	0.008116	94.405	0.005949	89.926	0.005727	93.977	0.009745	89.686	0.011682
2015/04/11	15:41:41.000000	0.008136	94.404	0.005947	89.926	0.005728	93.978	0.009744	89.684	0.011682
2015/04/11	15:41:42.000000	0.008115	94.403	0.005951	89.925	0.005729	93.978	0.009718	89.684	0.011680
2015/04/11	15:41:43.000000	0.008092	94.403	0.005955	89.924	0.005728	93.981	0.009703	89.682	0.011682
2015/04/11	15:41:44.000000	0.008133	94.403	0.005952	89.924	0.005732	93.981	0.009698	89.680	0.011684
2015/04/11	15:41:45.000000	0.008120	94.402	0.005957	89.922	0.005733	93.990	0.009694	89.680	0.011685
2015/04/11	15:41:46.000000	0.008136	94.402	0.005960	89.922	0.005735	93.997	0.009703	89.678	0.011682
2015/04/11	15:41:47.000000	0.008120	94.402	0.005962	89.922	0.005736	93.997	0.009671	89.676	0.011683
2015/04/11	15:41:48.000000	0.008119	94.402	0.005961	89.920	0.005735	94.004	0.009683	89.676	0.011682
2015/04/11	15:41:49.000000	0.008133	94.401	0.005963	89.920	0.005737	94.009	0.009698	89.674	0.011681
2015/04/11	15:41:50.000000	0.008122	94.401	0.005962	89.919	0.005740	94.009	0.009688	89.674	0.011684
2015/04/11	15:41:51.000000	0.008098	94.401	0.005960	89.917	0.005737	94.012	0.009706	89.673	0.011682
2015/04/11	15:41:52.000000	0.008106	94.400	0.005955	89.917	0.005736	94.012	0.009716	89.671	0.011681
2015/04/11	15:41:53.000000	0.008100	94.400	0.005957	89.917	0.005733	94.012	0.009732	89.671	0.011684
2015/04/11	15:41:54.000000	0.008117	94.400	0.005958	89.917	0.005733	94.011	0.009742	89.669	0.011688
2015/04/11	15:41:55.000000	0.008078	94.399	0.005958	89.915	0.005736	94.011	0.009751	89.667	0.011689
2015/04/11	15:41:56.000000	0.008117	94.399	0.005959	89.914	0.005736	94.006	0.009735	89.667	0.011686
2015/04/11	15:41:57.000000	0.008112	94.399	0.005962	89.914	0.005735	94.003	0.009746	89.664	0.011683
2015/04/11	15:41:58.000000	0.008133	94.398	0.005965	89.913	0.005736	94.003	0.009753	89.664	0.011680
2015/04/11	15:41:59.000000	0.008084	94.398	0.005963	89.912	0.005735	94.002	0.009756	89.662	0.011681
2015/04/11	15:42:00.000000	0.008098	94.398	0.005963	89.912	0.005735	94.002	0.009765	89.660	0.011681
2015/04/11	15:42:01.000000	0.008128	94.398	0.005963	89.910	0.005736	94.002	0.009764	89.660	0.011671
2015/04/11	15:42:02.000000	0.008089	94.398	0.005964	89.910	0.005739	94.001	0.009738	89.659	0.011668
2015/04/11	15:42:03.000000	0.008130	94.397	0.005963	89.909	0.005740	94.001	0.009695	89.658	0.011672
2015/04/11	15:42:04.000000	0.008104	94.397	0.005961	89.908	0.005740	94.005	0.009706	89.658	0.011675
2015/04/11	15:42:05.000000	0.008082	94.396	0.005963	89.908	0.005743	94.010	0.009706	89.656	0.011676
2015/04/11	15:42:06.000000	0.008116	94.396	0.005964	89.906	0.005743	94.010	0.009685	89.656	0.011677
2015/04/11	15:42:07.000000	0.008131	94.396	0.005969	89.905	0.005745	94.017	0.009683	89.655	0.011678
2015/04/11	15:42:08.000000	0.008118	94.396	0.005968	89.905	0.005744	94.017	0.009706	89.653	0.011685
2015/04/11	15:42:09.000000	0.008119	94.395	0.005970	89.904	0.005746	94.021	0.009712	89.653	0.011685
2015/04/11	15:42:10.000000	0.008108	94.395	0.005964	89.904	0.005746	94.023	0.009705	89.651	0.011683
2015/04/11	15:42:11.000000	0.008119	94.395	0.005968	89.902	0.005745	94.023	0.009719	89.649	0.011680
2015/04/11	15:42:12.000000	0.008095	94.395	0.005965	89.901	0.005748	94.026	0.009741	89.649	0.011680
2015/04/11	15:42:13.000000	0.008093	94.395	0.005969	89.901	0.005746	94.025	0.009735	89.647	0.011684
2015/04/11	15:42:14.000000	0.008127	94.394	0.005969	89.900	0.005744	94.025	0.009752	89.647	0.011687
2015/04/11	15:42:15.000000	0.008087	94.394	0.005965	89.899	0.005745	94.022	0.009769	89.645	0.011690
2015/04/11	15:42:16.000000	0.008128	94.394	0.005964	89.899	0.005746	94.022	0.009752	89.643	0.011688
2015/04/11	15:42:17.000000	0.008101	94.394	0.005968	89.897	0.005747	94.017	0.009700	89.643	0.011690
2015/04/11	15:42:18.000000	0.008085	94.394	0.005968	89.897	0.005747	94.016	0.009704	89.640	0.011692
2015/04/11	15:42:19.000000	0.008119	94.394	0.005968	89.896	0.005748	94.016	0.009721	89.638	0.011687
2015/04/11	15:42:20.000000	0.008103	94.394	0.005970	89.894	0.005748	94.016	0.009712	89.638	0.011685
2015/04/11	15:42:21.000000	0.008077	94.394	0.005967	89.894	0.005749	94.017	0.009693	89.636	0.011685
2015/04/11	15:42:22.000000	0.008126	94.393	0.005967	89.893	0.005751	94.017	0.009707	89.636	0.011694
2015/04/11	15:42:23.000000	0.008089	94.393	0.005965	89.892	0.005750	94.020	0.009717	89.633	0.011694
2015/04/11	15:42:24.000000	0.008069	94.392	0.005970	89.892	0.005753	94.020	0.009698	89.630	0.011687
2015/04/11	15:42:25.000000	0.008104	94.393	0.005971	89.891	0.005753	94.021	0.009693	89.630	0.011686
2015/04/11	15:42:26.000000	0.008073	94.393	0.005972	89.891	0.005750	94.024	0.009682	89.628	0.011682
2015/04/11	15:42:27.000000	0.008106	94.393	0.005971	89.889	0.005749	94.024	0.009701	89.625	0.011663
2015/04/11	15:42:28.000000	0.008084	94.393	0.005972	89.888	0.005751	94.026	0.009740	89.625	0.011663
2015/04/11	15:42:29.000000	0.008106	94.393	0.005972	89.888	0.005751	94.023	0.009752	89.624	0.011665
2015/04/11	15:42:30.000000	0.008069	94.392	0.005975	89.886	0.005753	94.023	0.009761	89.624	0.011664
2015/04/11	15:42:31.000000	0.008120	94.392	0.005972	89.885	0.005756	94.019	0.009765	89.624	0.011666
2015/04/11	15:42:32.000000	0.008093	94.392	0.005973	89.885	0.005757	94.019	0.009750	89.622	0.011670
2015/04/11	15:42:33.000000	0.008079	94.392	0.005976	89.884	0.005756	94.014	0.009740	89.622	0.011674
2015/04/11	15:42:34.000000	0.008122	94.392	0.005977	89.884	0.005757	94.011	0.009749	89.621	0.011666
2015/04/11	15:42:35.000000	0.008093	94.392	0.005974	89.882	0.005758	94.011	0.009774	89.619	0.011669
2015/04/11	15:42:36.000000	0.008104	94.392	0.005972	89.881	0.005759	94.006	0.009760	89.619	0.011667
2015/04/11	15:42:37.000000	0.008090	94.392	0.005972	89.881	0.005757	94.001	0.009741	89.618	0.011672
2015/04/11	15:42:38.000000	0.008094	94.392	0.005972	89.879	0.005761	94.001	0.009715	89.618	0.011672
