YYYY/MM/DD	HH:mm:ss	[B839 KT19] KT19 radiation thermometer analog	[B840 Integral Radiation Sensors] Pyranometer 3	[B840 Integral Radiation Sensors] Pyranometer 3	[B840 Integral Radiation Sensors] Pyranometer 4	[B840 Integral Radiation Sensors] Pyranometer 4	[B840 Integral Radiation Sensors] Pyrgeometer 3	[B840 Integral Radiation Sensors] Pyrgeometer 3	[B840 Integral Radiation Sensors] Pyrgeometer 4	[B840 Integral Radiation Sensors] Pyrgeometer 4
		Temperature Raw	Shortwave Irradiance top temperature raw	Shortwave Irradiance top value raw	Shortwave Irradiance bottom temperature raw	Shortwave Irradiance bottom value raw	Longwave Irradiance top temperature raw	Longwave Irradiance top value raw	Longwave Irradiance bottom temperature raw	Longwave Irradiance bottom value raw
		Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot
		A	Ohm	A	Ohm	A	Ohm	mA	Ohm	mA
2015/04/13	16:37:04.000000	0.007579	91.986	0.007044	91.703	0.006434	91.625	0.009618	91.507	0.011733
2015/04/13	16:37:05.000000	0.007582	91.984	0.007040	91.703	0.006434	91.625	0.009618	91.507	0.011737
2015/04/13	16:37:06.000000	0.007540	91.984	0.007038	91.703	0.006436	91.625	0.009619	91.508	0.011739
2015/04/13	16:37:07.000000	0.007603	91.983	0.007043	91.702	0.006438	91.625	0.009617	91.507	0.011738
2015/04/13	16:37:08.000000	0.007622	91.983	0.007051	91.700	0.006438	91.626	0.009620	91.507	0.011740
2015/04/13	16:37:09.000000	0.007506	91.982	0.007055	91.700	0.006438	91.625	0.009618	91.507	0.011740
2015/04/13	16:37:10.000000	0.007563	91.980	0.007065	91.699	0.006439	91.625	0.009621	91.507	0.011740
2015/04/13	16:37:11.000000	0.007597	91.980	0.007076	91.698	0.006438	91.626	0.009621	91.507	0.011742
2015/04/13	16:37:12.000000	0.007535	91.979	0.007103	91.698	0.006437	91.626	0.009621	91.507	0.011743
2015/04/13	16:37:13.000000	0.007563	91.978	0.007135	91.697	0.006439	91.626	0.009623	91.507	0.011743
2015/04/13	16:37:14.000000	0.007595	91.978	0.007159	91.697	0.006438	91.626	0.009623	91.507	0.011742
2015/04/13	16:37:15.000000	0.007599	91.976	0.007177	91.696	0.006436	91.626	0.009624	91.506	0.011745
2015/04/13	16:37:16.000000	0.007548	91.976	0.007205	91.695	0.006436	91.625	0.009623	91.506	0.011746
2015/04/13	16:37:17.000000	0.007548	91.975	0.007244	91.695	0.006434	91.625	0.009625	91.506	0.011745
2015/04/13	16:37:18.000000	0.007556	91.974	0.007285	91.693	0.006434	91.625	0.009625	91.506	0.011748
2015/04/13	16:37:19.000000	0.007600	91.974	0.007317	91.692	0.006433	91.625	0.009626	91.506	0.011750
2015/04/13	16:37:20.000000	0.007612	91.973	0.007347	91.692	0.006429	91.625	0.009628	91.505	0.011751
2015/04/13	16:37:21.000000	0.007614	91.971	0.007390	91.692	0.006429	91.624	0.009627	91.505	0.011753
2015/04/13	16:37:22.000000	0.007638	91.971	0.007408	91.692	0.006429	91.624	0.009628	91.505	0.011753
2015/04/13	16:37:23.000000	0.007615	91.970	0.007414	91.690	0.006429	91.624	0.009629	91.504	0.011755
2015/04/13	16:37:24.000000	0.007582	91.970	0.007413	91.689	0.006430	91.624	0.009630	91.504	0.011757
2015/04/13	16:37:25.000000	0.007644	91.969	0.007394	91.689	0.006431	91.623	0.009629	91.504	0.011758
2015/04/13	16:37:26.000000	0.007643	91.968	0.007362	91.688	0.006433	91.623	0.009629	91.504	0.011758
2015/04/13	16:37:27.000000	0.007596	91.968	0.007302	91.687	0.006436	91.623	0.009629	91.503	0.011760
2015/04/13	16:37:28.000000	0.007562	91.967	0.007244	91.687	0.006438	91.623	0.009630	91.501	0.011763
2015/04/13	16:37:29.000000	0.007605	91.966	0.007190	91.686	0.006442	91.621	0.009633	91.501	0.011763
2015/04/13	16:37:30.000000	0.007628	91.966	0.007135	91.686	0.006444	91.621	0.009630	91.501	0.011764
2015/04/13	16:37:31.000000	0.007630	91.965	0.007095	91.685	0.006446	91.621	0.009632	91.499	0.011763
2015/04/13	16:37:32.000000	0.007641	91.965	0.007042	91.684	0.006450	91.620	0.009631	91.499	0.011765
2015/04/13	16:37:33.000000	0.007632	91.964	0.007014	91.684	0.006452	91.619	0.009633	91.498	0.011763
2015/04/13	16:37:34.000000	0.007605	91.963	0.007029	91.683	0.006452	91.619	0.009636	91.498	0.011763
2015/04/13	16:37:35.000000	0.007624	91.963	0.007050	91.682	0.006451	91.617	0.009631	91.496	0.011762
2015/04/13	16:37:36.000000	0.007620	91.961	0.007049	91.682	0.006450	91.617	0.009632	91.496	0.011763
2015/04/13	16:37:37.000000	0.007602	91.960	0.007044	91.681	0.006449	91.616	0.009634	91.496	0.011762
2015/04/13	16:37:38.000000	0.007649	91.960	0.007063	91.681	0.006450	91.615	0.009633	91.494	0.011765
2015/04/13	16:37:39.000000	0.007609	91.958	0.007097	91.680	0.006447	91.615	0.009632	91.493	0.011763
2015/04/13	16:37:40.000000	0.007617	91.958	0.007124	91.679	0.006446	91.613	0.009632	91.493	0.011765
2015/04/13	16:37:41.000000	0.007597	91.957	0.007136	91.679	0.006445	91.612	0.009631	91.492	0.011764
2015/04/13	16:37:42.000000	0.007631	91.956	0.007148	91.678	0.006443	91.612	0.009632	91.492	0.011762
2015/04/13	16:37:43.000000	0.007597	91.956	0.007155	91.677	0.006443	91.611	0.009633	91.491	0.011765
2015/04/13	16:37:44.000000	0.007616	91.955	0.007156	91.677	0.006444	91.611	0.009632	91.490	0.011766
2015/04/13	16:37:45.000000	0.007566	91.953	0.007146	91.676	0.006447	91.609	0.009632	91.490	0.011765
2015/04/13	16:37:46.000000	0.007632	91.953	0.007106	91.676	0.006447	91.608	0.009633	91.489	0.011766
2015/04/13	16:37:47.000000	0.007614	91.952	0.007082	91.675	0.006448	91.608	0.009633	91.487	0.011766
2015/04/13	16:37:48.000000	0.007649	91.952	0.007070	91.674	0.006450	91.607	0.009632	91.487	0.011768
2015/04/13	16:37:49.000000	0.007654	91.951	0.007043	91.674	0.006453	91.606	0.009632	91.486	0.011765
2015/04/13	16:37:50.000000	0.007646	91.950	0.007020	91.673	0.006452	91.606	0.009633	91.486	0.011766
2015/04/13	16:37:51.000000	0.007632	91.950	0.007020	91.672	0.006451	91.605	0.009633	91.485	0.011766
2015/04/13	16:37:52.000000	0.007656	91.949	0.007026	91.672	0.006453	91.605	0.009631	91.484	0.011766
2015/04/13	16:37:53.000000	0.007613	91.947	0.007030	91.671	0.006450	91.603	0.009632	91.484	0.011764
2015/04/13	16:37:54.000000	0.007652	91.947	0.007039	91.671	0.006450	91.602	0.009632	91.482	0.011766
2015/04/13	16:37:55.000000	0.007650	91.946	0.007047	91.670	0.006451	91.602	0.009631	91.481	0.011766
2015/04/13	16:37:56.000000	0.007654	91.946	0.007049	91.669	0.006452	91.601	0.009632	91.481	0.011766
2015/04/13	16:37:57.000000	0.007647	91.944	0.007031	91.669	0.006452	91.600	0.009632	91.480	0.011766
2015/04/13	16:37:58.000000	0.007671	91.943	0.007020	91.668	0.006452	91.600	0.009631	91.480	0.011766
2015/04/13	16:37:59.000000	0.007646	91.943	0.007035	91.667	0.006453	91.598	0.009631	91.479	0.011764
2015/04/13	16:38:00.000000	0.007657	91.942	0.007053	91.667	0.006451	91.598	0.009630	91.478	0.011763
2015/04/13	16:38:01.000000	0.007632	91.941	0.007051	91.666	0.006450	91.597	0.009632	91.478	0.011763
2015/04/13	16:38:02.000000	0.007597	91.941	0.007033	91.666	0.006452	91.596	0.009629	91.477	0.011764
2015/04/13	16:38:03.000000	0.007616	91.939	0.007023	91.665	0.006453	91.596	0.009628	91.476	0.011760
2015/04/13	16:38:04.000000	0.007612	91.939	0.007023	91.664	0.006454	91.596	0.009629	91.476	0.011762
2015/04/13	16:38:05.000000	0.007617	91.938	0.007026	91.664	0.006454	91.595	0.009629	91.475	0.011761
2015/04/13	16:38:06.000000	0.007642	91.937	0.007034	91.663	0.006451	91.595	0.009628	91.475	0.011761
2015/04/13	16:38:07.000000	0.007622	91.937	0.007042	91.662	0.006450	91.594	0.009627	91.475	0.011759
2015/04/13	16:38:08.000000	0.007617	91.936	0.007067	91.662	0.006451	91.594	0.009629	91.474	0.011757
2015/04/13	16:38:09.000000	0.007627	91.934	0.007092	91.660	0.006449	91.594	0.009630	91.474	0.011758
2015/04/13	16:38:10.000000	0.007646	91.934	0.007122	91.660	0.006445	91.593	0.009628	91.474	0.011757
2015/04/13	16:38:11.000000	0.007621	91.933	0.007157	91.660	0.006445	91.593	0.009630	91.473	0.011758
2015/04/13	16:38:12.000000	0.007620	91.933	0.007188	91.659	0.006442	91.593	0.009628	91.473	0.011758
2015/04/13	16:38:13.000000	0.007615	91.932	0.007212	91.659	0.006442	91.592	0.009627	91.473	0.011758
2015/04/13	16:38:14.000000	0.007628	91.931	0.007222	91.658	0.006441	91.592	0.009628	91.473	0.011758
2015/04/13	16:38:15.000000	0.007646	91.931	0.007228	91.657	0.006443	91.592	0.009627	91.472	0.011759
2015/04/13	16:38:16.000000	0.007619	91.929	0.007232	91.657	0.006440	91.592	0.009628	91.472	0.011759
2015/04/13	16:38:17.000000	0.007622	91.928	0.007225	91.655	0.006439	91.592	0.009629	91.472	0.011758
2015/04/13	16:38:18.000000	0.007598	91.928	0.007202	91.655	0.006442	91.592	0.009630	91.472	0.011760
2015/04/13	16:38:19.000000	0.007593	91.928	0.007160	91.654	0.006446	91.592	0.009626	91.472	0.011762
2015/04/13	16:38:20.000000	0.007623	91.928	0.007114	91.654	0.006449	91.592	0.009629	91.472	0.011761
2015/04/13	16:38:21.000000	0.007627	91.926	0.007107	91.654	0.006449	91.592	0.009628	91.471	0.011759
2015/04/13	16:38:22.000000	0.007611	91.925	0.007107	91.652	0.006450	91.592	0.009628	91.471	0.011758
2015/04/13	16:38:23.000000	0.007616	91.925	0.007084	91.652	0.006450	91.592	0.009629	91.471	0.011759
